date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,sumtext,Project,Companies,Theme,tags
2013-03-01T07:00:00Z,,Billing Problem Affects EnergyAustralia Customers,"New IBM billing system causes problems for 145,000 customers. ",,,,,,145000,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Energy and Utilities,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-hundreds-of-thousands-hit-by-us-tax-filing-glitches,"The tax software problems have reportedly been fixed, but refunds might be delayed by up to 8 weeks in some cases.. The Australian quotes a source as saying, “The backlog is caused by IBM middleware (software) unable to handle sales files sent by third parties such as distributors. Due to inadequate validity checking, errors are created and the IBM team in India is woefully undermanned to handle the workload. Montreal Métro System Shuts Down

Last Wednesday, as feared, all four lines of Montreal’s Métro System shut down completely over the lunch hour because of known software problem in a critical main computer system server. In a bit of an oddball story, the UK press last week reported on a brand new £300 000 National Helath Service (NHS) Trust doctors' surgery in Westbury-on-Severn, Gloucestershire that was shut down four hours after it opened 14 January because of “serious computer connectivity problems.”. What wasn’t explained in any of the press stories is how such a “connectivity problem” was somehow overlooked before the surgery was opened.",,,billing,"Australia,Operational Failure,Commercial,,,Energy and Utilities,,,,,Impact - Raw,Impact - customers affected"
2013-12-01T07:00:00Z,,"New $162 Million LA County Dept. of Water and Power Billing System Sends out 70,000 Wrong Bills",The DWP system was originally supposed to cost $59 million.,,,,,,70000,,,,US,The Americas,Operational Failure,Government,State/Local,Utilities,,http://spectrum.ieee.org/riskfactor/computing/it/los-angeles-department-of-water-and-power-scrambles-to-fix-billing-system-mess; http://www.cbsnews.com/news/power-restored-after-amtrak-disruption/,,,,billing,"US,Operational Failure,Government,State/Local,Utilities,,$,,,,Impact - Raw,Impact - customers affected,Impact - Qty,Impact - Currency"
2014-10-01T07:00:00Z,,Duke Energy Falsely Reports Customers As Delinquent Bill Payers for Four Years,"Energy company blames coding error for false reports on over 500,000 customers.",,,4,years,34944,500000,,,,US,The Americas,Operational Failure,Commercial,,,Energy and Utilities,http://spectrum.ieee.org/riskfactor/computing/it/duke-energy-wrongly-reports-500000-customers-as-delinquent-bill-payers-since-2010-,Duke Energy admitted that the root cause of the problem was a coding error that occurred when customers opted to pay their monthly utility bills via the utility’s Budget Billing or Percentage of Income Payment Plan Plus (in Ohio only),,,billing,"US,Operational Failure,Commercial,,,Energy and Utilities,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2008-09-01T07:00:00Z,,UK NATS Computer System Software Problem Cancels Flights,"100 flights canceled, dozens grounded for 30 minutes, untold others delayed across the UK and Europe.",,,2,hours,2,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/atc_software_problem_hits_uk_a,A software problem affected the computer system at the London Air Traffic Control Centre in Swanwick that controls air space over south east England yesterday,,,airport/port/customs systems,"UK,Operational Failure,Commercial,,,Air Transport,,airport/port/customs systems,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2006-04-01T07:00:00Z,,Microsoft 's MSN Search Engine Crashes,The outage lasted nearly four hours.,,,3.5,hours,3.5,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,IT,http://www.computerworld.com.au/article/154576/msn_search_engine_suffers_hours-long_outage/,The company is still trying to determine what caused the problem.,,Microsoft,system outage/crash,"Worldwide,Operational Failure,Commercial,,,IT,,,Microsoft,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2006-05-01T07:00:00Z,,Software Bug Takes Down Amtrak Power in Northeast,The outage lasted for about 2 hours.,,,2,hours,2,,,,,US,The Americas,Operational Failure,Commercial,,,Rail,http://www.nytimes.com/2007/02/24/us/24amtrak.html; http://www.cbsnews.com/news/power-restored-after-amtrak-disruption/,,,,mass transit,"US,Operational Failure,Commercial,,,Rail,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2006-05-01T07:00:00Z,,Montana Government IT Systems Crash,Systems were offline for a day.,,,1,days,24,,,,,US,The Americas,Operational Failure,Government,State/Local,Information Technology,,http://redmondmag.com/articles/2006/05/23/computer-outage-strikes-montana-state-government.aspx;  http://www.spokesman.com/stories/2006/may/23/computer-outage-stalls-montana-government/,,,,system outage/crash,"US,Operational Failure,Government,State/Local,Information Technology,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-06-01T07:00:00Z,,International Space Station Experiences Total Loss of Computers,The computer was fixed after a few days.,,,6,days,144,,,,,Space,Worldwide,Operational Failure,Government,International,Space,,http://spectrum.ieee.org/aerospace/space-flight/space-station-internal-nasa-reports-explain-origins-of-june-computer-crisis,"The terse description in the NASA internal technical report on the crisis, obtained by IEEE Spectrum, put it this way: ”On 13 June, a complete shutdown of secondary power to all [three] central computer and terminal computer channels occurred, resulting in the loss of capability to control ISS Russian segment systems.”

Russian officials were quick to blame NASA for ”zapping their computers” with ”dirty” 28-volt power from a newly installed solar power wing. But in a failure unanticipated by its designers, this one command path itself was able to kill all three processing units due to a single corrosion-induced short.",,,system outage/crash,"Space,Operational Failure,Government,International,Space,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-12-01T07:00:00Z,,Computer Problems Close Major Seattle Bus Tunnel for Days,The tunnel was out for nearly a week.,,,1,weeks,168,,,,,US,The Americas,Operational Failure,Government,State/Local,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/seattle_bus_tunnel_computer_st,"Seattle's newly renovated downtown bus tunnel will remain closed through Friday (UPDATE: now Monday, 24 December; UPDATE 2: Make that 26 December; UPDATE 3: Make that until further notice; UPDATE: Opens on 27 December.) due to a computer malfunction, reports the Seattle Times.

According to the Times story, ""Sound Transit, which recently led a tunnel-retrofit project, found suspected flaws in two or three circuit boards and will also replace five or six similar boards, said its light-rail director, Ahmad Fazel",,,mass transit,"US,Operational Failure,Government,State/Local,Transportation,,,mass transit,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2010-01-01T07:00:00Z,721625027,Australia's Myki AU $1.3 Billion Ticketing System Launch Marred by Problems,"Nearly three years late, and AU $800 million over budget, the project is full of glitches galore.",,,,,,,8.0E8,$,AUD,Australia,Asia Pacific and Japan,Operational Failure,Government,State/Local,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/australias-au13-billion-myki-ticketing-system-introduction-marred-by-multiple-missteps,,,,mass transit,"Australia,Operational Failure,Government,State/Local,Transportation,,$,mass transit,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-12-01T07:00:00Z,18500000,LAUSD Payroll System Cost Jumps from $95 Million to $210 Million,"The ""official"" cost overrun was $37 million, and the state was able to recover half of that amount.",,,,,,,18500000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/lausd_payroll_system_from_95_m; http://www.dailynews.com/general-news/20071216/lausd-payroll-system-price-tag-balloons; http://articles.latimes.com/2008/nov/27/local/me-payroll27); http://articles.latimes.com/2010/jul/01/local/la-me-0701-lausd-payroll-20100701,,,Deloitte,payroll,"US,Operational Failure,Government,State/Local,Education,,$,payroll,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-05-01T07:00:00Z,,US Immigration Court System Server Outage Enters Week Six,59 immigration courts have to revert to pencil and paper.,,,6,weeks,1008,,,,,US,The Americas,Operational Failure,Government,National,Law Enforcement,,http://spectrum.ieee.org/riskfactor/computing/it/us-immigration-court-system-outage-enters-week-six; http://www.pbs.org/newshour/updates/weeks-long-computer-crash-sends-u-s-immigration-courts-back-pencils-paper/,"A story the following day in Federal Computer Week cast doubt on the Post’s server meltdown story, instead citing “sources familiar with the situation” as indicating the issue was more of an access problem than a server problem.” FCW quoted EOIR spokeswoman Lauren Alder Reid as saying, “This isn't a long-term problem,” and reported that the “the solution won't require an extensive overhaul.” She refused to go into specifics of either the exact problem or the solution, “citing security concerns.”

Apparently, the unspecified “hardware failure” was a longer-term problem than was first expected",,,system outage/crash,"US,Operational Failure,Government,National,Law Enforcement,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2014-11-01T07:00:00Z,,Microsoft Azure Cloud Goes Down for over 11 Hours,"An update error compounded by human error takes down Microsoft Office 365,  Xbox Live , and other services across the United States, Europe, Japan, and Asia.",,,11,hours,11,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,IT,http://spectrum.ieee.org/riskfactor/computing/it/blob-frontend-bug-bites-microsoft-azure-cloud-,"According a detailed post by Microsoft Azure corporate vice president Jason Zanderon, the outage was caused by “a bug that got triggered when a configuration change in the Azure Storage Front End component was made, resulting in the inability of the Blob [Binary Large Object] Front-Ends to take traffic.”

The configuration change was made as part of a “performance update” to Azure Storage, that when made, exposed the bug, and “resulted in reduced capacity across services utilizing Azure Storage, including Virtual Machines, Visual Studio Online, Websites, Search and other Microsoft services.” The bug, which had escaped detection during “several weeks of testing,” caused the storage Blob Front-Ends to go into an infinite loop, Zander stated. However, the Blob Front-Ends needed a restart to halt their infinite looping, which slowed the recovery time, Zander wrote.

The effects of the bug could have been contained, except that Zander indicated someone apparently didn’t follow standard procedure in rolling out the performance update.

“Unfortunately the issue was wide spread, since the update was made across most regions in a short period of time due to operational error, instead of following the standard protocol of applying production changes in incremental batches.”",,Microsoft,system outage/crash,"Worldwide,Operational Failure,Commercial,,,IT,,,Microsoft,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-03-01T07:00:00Z,,Software Update Brings Down Georgia Nuclear Power Plant,The plant went into emergency shutdown for 48 hours.,,,2,days,48,,,,,US,The Americas,Operational Failure,Commercial,,,Energy and Utilities,http://spectrum.ieee.org/riskfactor/computing/it/software_update_brings_down_nu,,,,system outage/crash,"US,Operational Failure,Commercial,,,Energy and Utilities,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2007-08-01T07:00:00Z,,US Customs Computer System at LAX Suffers Hardware Crash,"20,000 arriving passengers going through customs were delayed for hours, and there were delays for outbound international flights, as well.",,3,13.5,hours,13.5,20000,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://www.washingtonpost.com/wp-dyn/content/article/2007/08/12/AR2007081200147.html,,,,airport/port/customs systems,"US,Operational Failure,Government,National,Customs,,,airport/port/customs systems,,,Impact - Raw,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2008-10-01T07:00:00Z,,Qantas Airbus 330 Dives Due to Faulty Computer Component,"Over 70 passengers and crew were injured, 14 of them severely.",,70,,,,70,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/qantas_dive_was_caused_by_faul; http://www.dailytelegraph.com.au/a-flash-then-we-plunged/story-e6freuy9-1111117691511,"Both of those have been ruled out.

The Australian paper Sydney Morning Herald reported that investigators found during the analysis of flight data that the plane's air data inertial reference unit - the device responsible for supplying data on air pressure, temperature and acceleration - had failed.

The failure caused incorrect wrong data to be sent to the aircraft's flight control system.

Australian Transport Safety Bureau's director of aviation safety investigation, Julian Walsh said that, ""Because of the fault â'¿ [the component] has indicated to the flight control computer that the angle of attack of the aircraft was higher.""

""So the flight computer has considered that it needed to nose the aircraft over.""

""About two minutes later â'¿ the flight control computers commanded a nose-down movement,"" Mr Walsh said",,,airplane,"Australia,Operational Failure,Commercial,,,Air Transport,,airplane,,,Impact - Raw,Impact - injured or killed,Impact - customers affected"
2009-06-01T07:00:00Z,,Automated Train Control Failure Involved in Washington DC Metro Crash,9 people were killed and 52 injured in the crash.,,61,,,,61,,,,US,The Americas,Operational Failure,Commercial,,,Rail,http://spectrum.ieee.org/riskfactor/computing/it/national-transportation-safety-board-issues-urgent-dc-metro-safety-recommendation; http://www.ntsb.gov/investigations/AccidentReports/Reports/RAR1002.pdf,,,,mass transit,"US,Operational Failure,Commercial,,,Rail,,,,,Impact - Raw,Impact - injured or killed"
2009-06-01T07:00:00Z,,Air France Flight 447 Crashes Off Coast of Brazil,"228 passengers and crew perished in the crash, in a deadly example of the ""automation paradox.""",,228,,,,228,,,,"Brazil, France",Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/air-france-flight-447-crash-caused-by-a-combination-of-factors; http://www.theguardian.com/world/2011/apr/04/air-france-plane-crash-victims-found,"A deadly combination of pilot confusion, “warning system ergonomics” design and inadequate pilot training were responsible for the crash of Air France Flight 447 on 1 June 2009.",,,airplane,"Brazil, France,Operational Failure,Commercial,,,Air Transport,,airplane,,,Impact - Raw,Impact - injured or killed,Impact - customers affected"
2005-11-01T07:00:00Z,,Computer Problem Shuts Tokyo Stock Exchange,The exchange is closed for a day.,,,1,days,24,,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://www.theregister.co.uk/2005/11/25/stock_exchange_glitch_fall_out/,"The exchange was only able to operate for 90 minutes on 1 November due to bugs with a newly installed transactions system, developed by Fujitsu, which was supposed to help cope with higher trading volumes",,,stock exchange,"Japan,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2005-12-01T07:00:00Z,3.3E8,Fat-finger Trade Causes Havoc on Tokyo Stock Exchange,Mizuho Securities brokerage suffers a $330 million loss.,,,,,,,3.3E8,$,USD,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://www.nytimes.com/2005/12/13/business/worldbusiness/13glitch.html,"In a hastily called news conference late Sunday evening, the exchange's president and chief executive, Takuo Tsurushima, admitted that a failure by the exchange's computer system was also at fault. They fault a bureaucratic culture of secrecy at the exchange that makes it reluctant to reveal details of its trading systems, even to brokerages",,,stock exchange,"Japan,Operational Failure,Commercial,,,Stock Exchanges,$,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Qty,Impact - Currency"
2007-11-01T07:00:00Z,,London Stock Exchange Experiences Computer Problems,Delays in trading last less than an hour.,,,40,minutes,0.6666666667,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/computer_problems_at_london_st,The London Stock Exchange suffered disruptions for the last 40 minutes of the trading day due to a computer problem which resulted in incorrect share prices being displayed,,,stock exchange,"UK, US, Canada,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-02-01T07:00:00Z,,Tokyo Stock Exchange Experiences Computer Fault,Future trading was suspended for nearly three hours.,,,3,hours,2.66,,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://www.bloomberg.com/apps/news?pid=newsarchive&refer=Japan&sid=aWLtzQLW_bF4,"The Tokyo Stock Exchange halted trading of Topix index futures because of a computer fault, hampering trading as the stock market ended its biggest weekly decline in a month.",,,stock exchange,"Japan,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-07-01T07:00:00Z,,Tokyo Stock Exchange Suspends Trading,The outage lasted over 4 hours.,,,4.3,hours,4.3,,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/tokyo_stock_exchange_has_yet_a,,,,stock exchange,"Japan,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-09-01T07:00:00Z,,London Stock Exchange Shutdown Due to Software Problem,The exchange is shut for seven hours.,,,7,hours,7,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/london_stock_exchange_shutdown,"The London Stock Exchange (LSE) shut down for seven hours on Monday due to a software problem as opposed to too much trading volume as was initially speculated, Reuters reported. Reuters quoted an LSE spokesperson as saying:

""It was software-related, a coincidence, due to two processes we couldn't have foreseen",,,stock exchange,"UK,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2008-12-01T07:00:00Z,,Network Issue Closes Toronto Stock Exchange,The exchange is closed for day by a network firmware issue.,,,1,days,24,,,,,Canada,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/toronto_stock_exchange_resumes,"According to TSX, yesterdayâ''s outage was likely caused by ""a network firmware issue.""

""This resulted in complications with data synchronization between the primary and redundant data feed generators, which impacted the delivery of the Level 1 data feeds",,,stock exchange,"Canada,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-06-01T07:00:00Z,,New York Stock Exchange Halts Trading in 242 Stocks Due to Server Error,Trading was halted for about an hour.,,,40,minutes,0.66,,,,,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/new-york-stock-exchange-trading-halted-last-week,Several news sources reported that trading in 242 stocks was suspended because of computer server problem on the New York Stock Exchange last Friday,,,stock exchange,"US,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-08-01T07:00:00Z,,New York Stock Exchange Suffers Network  Problem,"2,000 securities were affected for about 20 minutes.",,,20,minutes,0.33,,,,,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/minor-glitches-at-new-york-and-london-exchanges-again-last-week,"The FTSE Group, which compiles the index, isn't sure why the problem occurred, however.",,,stock exchange,"US,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-11-01T07:00:00Z,,London Stock Exchange Suffers Two Outages,"One outage lasts over three hours, the other affects trading in 1 out of 12 stocks.",,,3.5,hours,3.5,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/london-stock-exchange-goes-down-again,"According to news reports and the LSE itself, at 1033 local time, a ""connectivity issue"" required the suspension of trading in all FTSE 100 Index stocks and order-driven securities. Having resolved the immediate issue, we are working hard to ensure this doesn't happen again ahead of switching to MillenniumIT's trading platform next year.""

On the 9th of November, a server problem caused trading to be suspended in 1 out of every 12 stocks on the LSE; there was another but different problem that caused a short outage in October as well.

Last year, the LSE went down for seven hours.

In September, the LSE announced plans to replace its Tradelect core trading platform with one from Sri Lanka-based MillenniumIT, which it bought for £18 million",,,stock exchange,"UK,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-05-01T07:00:00Z,,Computer Error Hits Detroit City Worker Paychecks,"15,000 city workers in Detroit couldn't cash their paychecks because of a computer processing error.",,,,,,15000,,,,US,The Americas,Operational Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/city_worker_payrolls_hit_by_co,,,,payroll,"US,Operational Failure,Government,State/Local,Finance and Treasury,,,payroll,,,Impact - Raw,Impact - customers affected"
2010-06-01T07:00:00Z,4.34E8,Mistaken Deutsche Bank's $182 Billion Sell Order Almost Disrupts Osaka Exchange,"The bank blames a software glitch for the attempted mistrade, but still incurs $434 million loss for executed orders.",,,,,,,4.34E8,$,USD,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/y167-trillion-182-billion-mistake-by-deutsche-bank-nearly-sinks-osaka-exchange; http://www.waterstechnology.com/sell-side-technology/opinion/1652849/mistakes-happen-deutsche-bank-trading-error-costs-usd434-million,"According to news reports like this one in Reuters, Deutsche Bank's proprietary trading unit in Japan mistakenly placed sell orders of Y16.7 trillion ($182 billion) at the Osaka Securities Exchange on Tuesday when it first opened.

The reason was a software problem.

The Sydney Morning Herald quotes a spokesperson for Deutsche Bank's as saying,

""There was a software glitch in our automated trading system, and the consequence of the error was that a number of trades were repeatedly sent to the exchange..",,,stock exchange,"Japan,Operational Failure,Commercial,,,Stock Exchanges,$,stock exchange,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-10-01T07:00:00Z,,New York Stock Exchange Flash Crash Cause Uncovered,A trading algorithm is blamed for the crash.,,,20,minutes,0.3333333333,,,,,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/flash-crash-cause-found; http://spectrum.ieee.org/riskfactor/computing/it/man-the-hatches-new-york-stock-market-trading-goes-haywire,,,,stock exchange,"US,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-05-01T07:00:00Z,,Computer Error Hits Boston City Worker Paychecks,"Over 16,000 government workers in Boston didn't receive paychecks because of IT problems.",,,,,,16000,,,,US,The Americas,Operational Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/city_worker_payrolls_hit_by_co,,,,payroll,"US,Operational Failure,Government,State/Local,Finance and Treasury,,,payroll,,,Impact - Raw,Impact - customers affected"
2011-02-01T07:00:00Z,2.42E8,SEC Fines Investment Company AXA $25 Million and Mandates Restitution for Hiding $217 Million Software Error,Executives hid an error in the company's portfolio risk model that cost investors $217 million.,,,,,,,2.42E8,$,USD,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/the-242-million-software-error,,,,stock exchange,"US,Operational Failure,Other,,,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-02-01T07:00:00Z,,London Stock Exchange New Trading Platform Suffers Glitch,Trading was affected.,,,42,seconds,0.01166666667,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/london-stock-exchange-suffers-glitch-in-new-system,,,MillenniumIT ,stock exchange,"UK,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-02-01T07:00:00Z,,London Stock Exchange New Trading Platform Goes Dark for 4 Hours,Problem begins right after the opening bell.,,,4,hours,4,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/london-stock-exchange-suffers-4-hour-outage,"The Telegraph afternoon's article says that the LSE blamed the problem on a ""real time data dissemination issue.""

Traders were naturally irritated with this latest gaffe.

This is also the second time this week that LSE executive management was embarrassed by the poor performance of its trading operations",,,stock exchange,"UK,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-02-01T07:00:00Z,,Australian Stock Exchange Suspends Trading for 90 Minutes,AU $1.5 billion in trades is likely lost.,,,72,minutes,1.2,,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/australian-stock-markets-turn-to-go-dark; http://www.wsj.com/articles/SB10001424052970203687504577000583625482206,,,,stock exchange,"Australia,Operational Failure,Commercial,,,Stock Exchanges,$,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - Qty,Impact - Currency"
2011-10-01T07:00:00Z,,"Australian Stock Exchange Shut for 4 Hours After ""Connectivity"" Issue",Traders were very unhappy.,,,4,hours,4,,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/australian-securities-exchange-restored-after-going-dark,"According to the IBTimes, about 5 minutes after the ASX opened at 1000 local time, the ASX was shut down due to a ""technical fault"" with its trading platform. However, this evening local time, ASX sent out a press release (PDF) stating:



""The market was halted due to a network connectivity issue that prevented participants from interacting with the trading platform.""



ASX also said trading activity should be normal tomorrow",,,stock exchange,"Australia,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2012-02-01T07:00:00Z,,Tokyo Stock Exchange Backups Fail,Server problems cause a 3.5-hour outage.,,,3.5,hours,3.5,,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/tokyo-stock-exchange-has-trouble-with-servers,"Last month, the Johannesburg Stock Exchange halted trading for an hour due to a network problem. Further, according to a Reuters story, the JSE ""was forced to halt trade several times last year, due to problems with the connection to its trading engine in London.""



A few days before the JSE glitch, the Financial Times of London reported that a ""technical glitch"" delayed the start of trading on the SIX Swiss Exchange for three hours",,,stock exchange,"Japan,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2012-08-01T07:00:00Z,440000000,Knight Capital Loses $440 Million in Errant Trading Due to Programming Error,The losses place the company at risk of collapse.,,,,,,,440000000,$,USD,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/new-insights-into-knight-capital-trading-snafu; http://www.bloomberg.com/news/articles/2012-08-14/knight-440-million-loss-sealed-by-new-rules-on-canceling-trades,"The station has been investigating without much luck DMV outages that have apparently been taking the system down with some regularity since 2007.

By coincidence, several other California state agencies had computer networking problems yesterday as well, which the state blamed on an unexplained “circuit reconfiguration” issue. According to a company statement, in August 2010, a new integrated IT accounting system, which was installed to help manage the company’s “complex global supply chain,” missed some key transactions during the cut-over: “Due to a combination of system and procedural errors, a number of transactions relating to 2010 and 2011 and some residual balances from the previous system were not properly processed through the new IT system",,,stock exchange,"US,Operational Failure,Commercial,,,Stock Exchanges,$,stock exchange,,,Impact - Raw,Impact - Qty,Impact - Currency"
2012-10-01T07:00:00Z,,Erroneous Trades Plunge India's National Stock Exchange 800 Points in Minutes,A trader entered 59 erroneous orders and the exchange stopped to unravel them.,,,15,minutes,0.25,,,,,India,Asia Pacific and Japan,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/algorithms-gone-wild,"Earlier this week, the NASDAQ had its own trading uffda, but this time caused by yet another trading algorithm gone wild",,,stock exchange,"India,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2013-08-01T07:00:00Z,,NASDAQ Shuts Due to Trading Glitch,Exchange says for 3-hour outage was due to connectivity problems.,,,3,hours,3,,,,,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-stock-exchange-gremlins-attack,"The exchange blamed the problem on a “connectivity issue” involving its Securities Information Processor, which Reuters describes as being “the system that receives all traffic on quotes and orders for stocks on the exchange.” When the SIP doesn’t work, stock quotations cannot be disseminated.

Nasdaq Chief Executive Robert Greifeld has refused to discuss the cause of the problem in public. Greifeld did darkly hint, however, that the problems were someone else’s fault. Probably a smarter move than when Knight Capital Group CEO Thomas Joyce blamed “knuckleheads” in IT when a similar problem a year ago this month resulted in loss of US $440 million in about 45 minutes. The error, which cost the brokerage US $31.7 million and the brokerage’s president his job, was blamed originally on a “fat finger” trade. However, a “computer system malfunction” was the real cause, the Financial Times reported",,,stock exchange,"US,Operational Failure,Commercial,,,Stock Exchanges,,stock exchange,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
